Location,Cuisine Type,Type,Price (INR),Dish,Description
RS Puram,Italian,Vegetarian,399,Aloo Gobi,"A classic vegetarian dish made from potatoes and cauliflower, seasoned with turmeric, cumin, and coriander."
Race Course,Japanese,Vegetarian,685,Beetroot Salad,"A healthy salad made with roasted beetroot, feta cheese, and walnuts."
Saravanampatti,Italian,Vegetarian,659,Palak Paneer,"A delightful North Indian dish made with fresh spinach and paneer, flavored with spices and cooked in a creamy sauce."
Peelamedu,Mexican,Vegetarian,1880,Pesto Pasta,"Pasta tossed with a fresh basil pesto sauce, topped with Parmesan cheese."
Coimbatore North,Chinese,Vegetarian,690,Pani Puri,"Crispy hollow puris filled with spicy water, tamarind chutney, and a mix of chickpeas and potatoes."
Peelamedu,Italian,Vegetarian,806,Palak Paneer,"A delightful North Indian dish made with fresh spinach and paneer, flavored with spices and cooked in a creamy sauce."
Race Course,Mexican,Vegetarian,408,Pesto Pasta,"Pasta tossed with a fresh basil pesto sauce, topped with Parmesan cheese."
Saibaba Colony,Mexican,Vegetarian,1041,Vegetable Pakora,Crispy fritters made from assorted vegetables dipped in spiced gram flour batter.
Thudiyalur,Mexican,Vegetarian,920,Paneer Butter Masala,"Paneer cooked in a creamy tomato sauce with butter, a favorite North Indian dish."
Peelamedu,Mexican,Vegetarian,956,Vegetable Biryani,"A fragrant rice dish cooked with assorted vegetables and aromatic spices, often served with raita."
Peelamedu,Mexican,Vegetarian,1973,Vegetable Biryani,"A fragrant rice dish cooked with assorted vegetables and aromatic spices, often served with raita."
Coimbatore North,Japanese,Vegetarian,1839,Cauliflower Rice,"A low-carb alternative to rice, made from finely chopped cauliflower sautéed with spices."
Gandhipuram,French,Vegetarian,1012,Tandoori Cauliflower,"Cauliflower marinated in yogurt and spices, grilled until charred and flavorful."
Saravanampatti,Japanese,Vegetarian,1411,Malai Kofta,"Fried dumplings made of paneer and vegetables, served in a rich cream-based gravy."
Peelamedu,French,Vegetarian,1801,Fruit Chaat,A delicious mix of seasonal fruits tossed with chaat masala for a tangy flavor.
Saravanampatti,Chinese,Vegetarian,1548,Baingan Bharta,"Smoky roasted eggplant mashed and cooked with tomatoes, onions, and spices, best enjoyed with naan."
Singanallur,Thai,Vegetarian,726,Chili Paneer,"Paneer cubes tossed in a spicy and tangy sauce, a popular Indo-Chinese dish."
RS Puram,Mexican,Vegetarian,462,Paneer Butter Masala,"Paneer cooked in a creamy tomato sauce with butter, a favorite North Indian dish."
Coimbatore North,Thai,Vegetarian,827,Pav Bhaji,"A mixed vegetable curry served with buttered bread rolls, a popular street food from Mumbai."
Peelamedu,Indian,Vegetarian,1527,Methi Paratha,"Whole wheat flatbread infused with fenugreek leaves and spices, served with yogurt."
Saravanampatti,Italian,Vegetarian,633,Mushroom Soup,Rich and creamy soup made from fresh mushrooms and herbs.
Saibaba Colony,French,Vegetarian,213,Bhindi Masala,"Stir-fried okra with onions and spices, a flavorful dish that pairs well with rotis or rice."
Saibaba Colony,Italian,Vegetarian,1859,Carrot Halwa,"A rich dessert made from grated carrots, milk, sugar, and garnished with nuts."
Race Course,Thai,Vegetarian,1962,Fruit Salad,"A refreshing mix of seasonal fruits, perfect for dessert or a light snack."
Peelamedu,Indian,Vegetarian,1090,Quinoa Salad,"Nutritious salad made with quinoa, vegetables, and a lemon vinaigrette."
Race Course,Chinese,Vegetarian,1141,Saffron Risotto,Creamy risotto cooked with saffron and finished with Parmesan cheese.
Peelamedu,Italian,Vegetarian,1688,Mushroom Soup,Rich and creamy soup made from fresh mushrooms and herbs.
Singanallur,Indian,Vegetarian,1987,Chickpea Salad,"A refreshing salad made with boiled chickpeas, tomatoes, cucumber, and a tangy dressing."
Saravanampatti,Italian,Vegetarian,1383,Vegetable Manchurian,"Deep-fried vegetable balls tossed in a tangy sauce, a popular Indo-Chinese dish."
Race Course,Italian,Vegetarian,627,Greek Salad,"A refreshing salad made with cucumbers, tomatoes, olives, and feta cheese."
Thudiyalur,Thai,Vegetarian,389,Pav Bhaji,"A mixed vegetable curry served with buttered bread rolls, a popular street food from Mumbai."
Thudiyalur,Indian,Vegetarian,1275,Spinach Quiche,"A savory pie filled with spinach, cheese, and eggs, baked until golden."
Saravanampatti,French,Vegetarian,1992,Rajma,"Red kidney beans cooked in a spiced tomato gravy, typically served with rice."
Singanallur,Indian,Vegetarian,1829,Sesame Noodles,"Noodles tossed with sesame oil, soy sauce, and vegetables, served cold."
Peelamedu,Mexican,Vegetarian,1811,Lentil Soup,"A nutritious and comforting soup made from lentils, vegetables, and spices."
Thudiyalur,French,Vegetarian,514,Fruit Chaat,A delicious mix of seasonal fruits tossed with chaat masala for a tangy flavor.
Gandhipuram,Italian,Vegetarian,1813,Chili Garlic Noodles,Noodles tossed with chili and garlic for a spicy kick.
Peelamedu,Indian,Vegetarian,1523,Caramel Custard,"A smooth dessert made from milk, eggs, and caramel, served chilled."
Singanallur,Mexican,Vegetarian,1369,Paneer Butter Masala,"Paneer cooked in a creamy tomato sauce with butter, a favorite North Indian dish."
Thudiyalur,Mexican,Vegetarian,1532,Vegetable Pakora,Crispy fritters made from assorted vegetables dipped in spiced gram flour batter.
Gandhipuram,French,Vegetarian,239,Tandoori Cauliflower,"Cauliflower marinated in yogurt and spices, grilled until charred and flavorful."
Saibaba Colony,Mexican,Vegetarian,801,Vegetable Biryani,"A fragrant rice dish cooked with assorted vegetables and aromatic spices, often served with raita."
Peelamedu,Italian,Vegetarian,1998,Dosa,"Thin, crispy crepes made from fermented rice and lentil batter, served with chutney and sambar."
Coimbatore North,Mexican,Vegetarian,483,Paneer Tikka,"Cubes of paneer marinated in spices and grilled to perfection, served with mint chutney."
RS Puram,Indian,Vegetarian,1893,Vegetable Lasagna,"Layers of pasta, cheese, and a medley of vegetables baked in a tomato sauce."
Singanallur,Thai,Vegetarian,1201,Ratatouille,"A French vegetable stew made from zucchini, eggplant, peppers, and tomatoes."
Race Course,Thai,Vegetarian,912,Pav Bhaji,"A mixed vegetable curry served with buttered bread rolls, a popular street food from Mumbai."
